ts,game_id,game_name,igdb_id,viewers,channels
2026-09-02T00:09:01Z,509658,Just Chatting,,278708,4960
2026-09-02T00:09:01Z,32982,Grand Theft Auto V,1020,103524,3236
2026-09-02T00:09:01Z,33214,Fortnite,1905,95061,5346
2026-09-02T00:09:01Z,491931,Escape from Tarkov,15536,60136,696
2026-09-02T00:09:01Z,18122,World of Warcraft,123,49980,1229
2026-09-02T00:09:01Z,21779,League of Legends,115,48324,2203
2026-09-02T00:09:01Z,516575,VALORANT,126459,47046,2558
2026-09-02T00:09:01Z,32399,Counter-Strike,,43663,1342
2026-09-02T00:09:01Z,498566,Slots,,37822,87
2026-09-02T00:09:01Z,1217150241,Crimson Moon,389428,33704,178
2026-09-02T00:09:01Z,29595,Dota 2,,35053,664
2026-09-02T00:09:01Z,491487,Dead by Daylight,18866,30042,2157
2026-09-02T00:09:01Z,513143,Teamfight Tactics,120176,32055,361
2026-09-02T00:09:01Z,509672,IRL,,27661,485
2026-09-02T00:09:01Z,512710,Call of Duty: Warzone,131800,25987,1879
2026-09-02T00:09:01Z,602040818,NBA 2K27,408823,24250,3386
2026-09-02T00:09:01Z,511224,Apex Legends,114795,23373,1688
2026-09-02T00:09:01Z,27471,Minecraft,135400,22613,2695
2026-09-02T00:09:01Z,1264310518,Marvel Rivals,294041,22480,1984
2026-09-02T00:09:01Z,499973,Always On,,21476,405
2026-09-02T00:09:01Z,31339,Project Zomboid,3189,20190,382
2026-09-02T00:09:01Z,515025,Overwatch,125174,18745,1536
2026-09-02T00:09:01Z,460630,Rainbow Six Siege,7360,18547,2193
2026-09-02T00:09:01Z,512953,ELDEN RING,119133,18932,605
2026-09-02T00:09:01Z,30921,Rocket League,11198,16216,850
2026-09-02T00:09:01Z,29452,Virtual Casino,45517,15873,40
2026-09-02T00:09:01Z,1478650472,Call of Duty: Modern Warfare 4,403310,12900,1107
2026-09-02T00:09:01Z,509659,ASMR,,13313,167
2026-09-02T00:09:01Z,674491029,Star Wars Zero Company,340113,13807,365
2026-09-02T00:09:01Z,458353,Darkest Dungeon,8965,13362,25
2026-09-02T00:09:01Z,510117,Outlast II,14390,12588,14
2026-09-02T00:09:01Z,491962037,Big Ambitions,152779,12481,21
2026-09-02T00:09:01Z,2132205352,Deadlock,301298,11004,447
2026-09-02T00:09:01Z,493057,PUBG: BATTLEGROUNDS,27789,10932,483
2026-09-02T00:09:01Z,509660,Art,,10020,656
2026-09-02T00:09:01Z,19619,Tibia,9596,10075,626
2026-09-02T00:09:01Z,499634,Crypto,76760,8414,134
2026-09-02T00:09:01Z,116747788,"Pools, Hot Tubs, and Beaches",,9232,38
2026-09-02T00:09:01Z,386821,Black Desert,6292,9075,197
2026-09-02T00:09:01Z,417528,Albion Online,19698,8878,181
2026-09-02T00:09:01Z,14842174,Chained Together,265111,8537,32
2026-09-02T00:09:01Z,464339927,ARC Raiders,185258,8404,734
2026-09-02T00:09:01Z,138585,Hearthstone,1279,8056,109
2026-09-02T00:09:01Z,519291,Black Myth: Wukong,136879,8006,108
2026-09-02T00:09:01Z,27284,Retro,,7659,339
2026-09-02T00:09:01Z,1441208453,Once Human,204538,7032,932
2026-09-02T00:09:01Z,1898040946,How to Fish,378170,7458,361
2026-09-02T00:09:01Z,1036710512,Palworld,151665,6600,524
2026-09-02T00:09:01Z,499003,VRChat,33615,6644,154
2026-09-02T00:09:01Z,1190120838,Too Many Toys,415373,6479,4
2026-09-02T00:09:01Z,513181,Genshin Impact,119277,6752,375
2026-09-02T00:09:01Z,272263131,"Animals, Aquariums, and Zoos",,5661,310
2026-09-02T00:09:01Z,26936,Music,,4918,500
2026-09-02T00:09:01Z,230322618,Uncharted 4: A Thief's End - Remastered,168668,5860,1
2026-09-02T00:09:01Z,23020,ROBLOX,17269,5161,1836
2026-09-02T00:09:01Z,1669431183,DJs,,4885,179
2026-09-02T00:09:01Z,24241,FINAL FANTASY XIV ONLINE,386,5506,568
2026-09-02T00:09:01Z,509663,Special Events,,5324,122
2026-09-02T00:09:01Z,459931,Old School RuneScape,79824,5471,240
2026-09-02T00:09:01Z,13332,Pokémon FireRed/LeafGreen,,5060,98
2026-09-02T00:09:01Z,12839,Heroes of Might and Magic III: The Restoration of Erathia,364,5031,11
2026-09-02T00:09:01Z,498592,I'm Only Sleeping,71001,5055,130
2026-09-02T00:09:01Z,624536948,EA Sports FC 26,353848,4434,919
2026-09-02T00:09:01Z,670138298,Madden NFL 27,400379,4419,830
2026-09-02T00:09:01Z,263490,Rust,3277,4551,220
2026-09-02T00:09:01Z,1763263,nanos world,152927,4310,51
2026-09-02T00:09:01Z,66082,Games + Demos,,4144,1680
2026-09-02T00:09:01Z,570615518,Resonance: A Plague Tale Legacy,348168,4192,245
2026-09-02T00:09:01Z,1832841853,Mortal Shell II,347633,4187,393
