ts,game_id,game_name,igdb_id,viewers,channels
2026-08-30T01:26:33Z,509658,Just Chatting,,279059,5216
2026-08-30T01:26:33Z,516575,VALORANT,126459,78045,2757
2026-08-30T01:26:33Z,14842174,Chained Together,265111,58004,29
2026-08-30T01:26:33Z,18122,World of Warcraft,123,64936,1191
2026-08-30T01:26:33Z,32982,Grand Theft Auto V,1020,60684,2879
2026-08-30T01:26:33Z,33214,Fortnite,1905,54840,5159
2026-08-30T01:26:33Z,21779,League of Legends,115,50610,2133
2026-08-30T01:26:33Z,2128193047,Super Battle Golf,387070,47078,52
2026-08-30T01:26:33Z,509672,IRL,,38638,614
2026-08-30T01:26:33Z,27471,Minecraft,135400,33878,3203
2026-08-30T01:26:33Z,515025,Overwatch,125174,34604,1641
2026-08-30T01:26:33Z,490655,Pokémon GO,12515,33937,51
2026-08-30T01:26:33Z,602040818,NBA 2K27,408823,29548,4213
2026-08-30T01:26:33Z,1478650472,Call of Duty: Modern Warfare 4,403310,28114,2324
2026-08-30T01:26:33Z,491487,Dead by Daylight,18866,26858,2293
2026-08-30T01:26:33Z,32399,Counter-Strike,,25600,1178
2026-08-30T01:26:33Z,29595,Dota 2,,24346,674
2026-08-30T01:26:33Z,1264310518,Marvel Rivals,294041,22688,2007
2026-08-30T01:26:33Z,498566,Slots,,23143,78
2026-08-30T01:26:33Z,513143,Teamfight Tactics,120176,23825,343
2026-08-30T01:26:33Z,458353,Darkest Dungeon,8965,22326,24
2026-08-30T01:26:33Z,511224,Apex Legends,114795,22850,1848
2026-08-30T01:26:33Z,26936,Music,,20133,575
2026-08-30T01:26:33Z,9618,Pokémon Trading Card Game,4567,17984,78
2026-08-30T01:26:33Z,674491029,Star Wars Zero Company,340113,16648,518
2026-08-30T01:26:33Z,512710,Call of Duty: Warzone,131800,16283,2348
2026-08-30T01:26:33Z,499973,Always On,,14834,391
2026-08-30T01:26:33Z,509659,ASMR,,13355,153
2026-08-30T01:26:33Z,29452,Virtual Casino,45517,12241,34
2026-08-30T01:26:33Z,491931,Escape from Tarkov,15536,12706,729
2026-08-30T01:26:33Z,31339,Project Zomboid,3189,12401,368
2026-08-30T01:26:33Z,491962037,Big Ambitions,152779,11737,13
2026-08-30T01:26:33Z,1669431183,DJs,,10659,280
2026-08-30T01:26:33Z,624536948,EA Sports FC 26,353848,9682,924
2026-08-30T01:26:33Z,509660,Art,,8441,540
2026-08-30T01:26:33Z,512953,ELDEN RING,119133,8994,565
2026-08-30T01:26:33Z,23020,ROBLOX,17269,8317,2481
2026-08-30T01:26:33Z,386821,Black Desert,6292,8272,275
2026-08-30T01:26:33Z,1630982727,Where Winds Meet,214414,8813,107
2026-08-30T01:26:33Z,518379,Pokémon UNITE,135381,8497,81
2026-08-30T01:26:33Z,460630,Rainbow Six Siege,7360,7134,1856
2026-08-30T01:26:33Z,24241,FINAL FANTASY XIV ONLINE,386,7772,567
2026-08-30T01:26:33Z,19619,Tibia,9596,7240,468
2026-08-30T01:26:33Z,27284,Retro,,7243,316
2026-08-30T01:26:33Z,2132205352,Deadlock,301298,6909,456
2026-08-30T01:26:33Z,1832841853,Mortal Shell II,347633,7376,449
2026-08-30T01:26:33Z,459931,Old School RuneScape,79824,6878,241
2026-08-30T01:26:33Z,1036710512,Palworld,151665,6998,646
2026-08-30T01:26:33Z,570615518,Resonance: A Plague Tale Legacy,348168,7101,300
2026-08-30T01:26:33Z,1081998272,PEAK,349524,6623,497
2026-08-30T01:26:33Z,499003,VRChat,33615,6755,202
2026-08-30T01:26:33Z,499634,Crypto,76760,6373,92
2026-08-30T01:26:33Z,464339927,ARC Raiders,185258,6041,771
2026-08-30T01:26:33Z,493057,PUBG: BATTLEGROUNDS,27789,5900,578
2026-08-30T01:26:33Z,1931693784,Pokémon Champions,333568,5692,67
2026-08-30T01:26:33Z,509663,Special Events,,5663,163
2026-08-30T01:26:33Z,138585,Hearthstone,1279,5555,70
2026-08-30T01:26:33Z,65632,DayZ,2117,5408,321
2026-08-30T01:26:33Z,498592,I'm Only Sleeping,71001,5325,139
2026-08-30T01:26:33Z,2059463486,Waterpark Simulator,348648,5182,122
2026-08-30T01:26:33Z,272263131,"Animals, Aquariums, and Zoos",,5086,306
2026-08-30T01:26:33Z,65876,Cyberpunk 2077,1877,4950,224
2026-08-30T01:26:33Z,66082,Games + Demos,,4644,2200
2026-08-30T01:26:33Z,513181,Genshin Impact,119277,4823,288
2026-08-30T01:26:33Z,1760529825,A Game About Chopping Trees,403786,4705,3
2026-08-30T01:26:33Z,12839,Heroes of Might and Magic III: The Restoration of Erathia,364,4578,12
2026-08-30T01:26:33Z,417528,Albion Online,19698,4950,148
2026-08-30T01:26:33Z,1898040946,How to Fish,378170,4867,537
2026-08-30T01:26:33Z,459755,Firewatch,9730,4893,1
2026-08-30T01:26:33Z,30921,Rocket League,11198,4453,958
2026-08-30T01:26:33Z,1441208453,Once Human,204538,4295,922
2026-08-30T01:26:33Z,630009802,MARVEL TŌKON: Fighting Souls,347132,4465,129
2026-08-30T01:26:33Z,884569009,The Choicer Voicer,307223,4108,49
2026-08-30T01:26:33Z,13332,Pokémon FireRed/LeafGreen,,4025,87
2026-08-30T01:26:33Z,27546,World of Tanks,1184,3738,99
2026-08-30T01:26:33Z,66170,Warframe,2903,3730,337
2026-08-30T01:26:33Z,1282866981,Delta Force,262186,3667,215
2026-08-30T01:26:33Z,500188,Hunt: Showdown 1896,7291,3600,268
2026-08-30T01:26:33Z,676802825,Big Walk,279624,3458,414
2026-08-30T01:26:33Z,497248,Yu-Gi-Oh! TRADING CARD GAME,,3618,9
2026-08-30T01:26:33Z,2010156204,Can I Come In?,415368,3433,5
2026-08-30T01:26:33Z,511399,Super Mario Maker 2,115276,3530,18
2026-08-30T01:26:33Z,509511,Marbles on Stream,116975,3964,106
2026-08-30T01:26:33Z,369252,The Sims 4,3212,3519,104
2026-08-30T01:26:33Z,504463,Tom Clancy's The Division 2,90099,3407,218
2026-08-30T01:26:33Z,168648543,Battlefield 6,317407,3275,567
2026-08-30T01:26:33Z,2012789438,Call of Duty: Black Ops 7,348220,3269,520
2026-08-30T01:26:33Z,263490,Rust,3277,3183,253
2026-08-30T01:26:33Z,518203,Sports,,3064,115
2026-08-30T01:26:33Z,1982936547,Pokémon,266836,3096,61
2026-08-30T01:26:33Z,416015,Hero Siege,11708,3019,85
2026-08-30T01:26:33Z,55453844,Street Fighter 6,191692,3011,158
2026-08-30T01:26:33Z,493959,Red Dead Redemption II,25076,2797,364
2026-08-30T01:26:33Z,919021559,Metal Gear Solid 4: Guns of the Patriots - Master Collection Version,391780,2963,139
2026-08-30T01:26:33Z,29307,Path of Exile,1911,2903,89
2026-08-30T01:26:33Z,670138298,Madden NFL 27,400379,2777,872
2026-08-30T01:26:33Z,1865647616,DDTank,146050,71,17
2026-08-30T01:26:33Z,1832641890,MLB The Show 26,387374,2771,118
2026-08-30T01:26:33Z,493174,Jackbox Party Packs,,2586,57
2026-08-30T01:26:33Z,497057,Destiny 2,25657,2652,366
