ts,game_id,game_name,igdb_id,viewers,channels
2026-09-03T00:12:22Z,509658,Just Chatting,,280862,4877
2026-09-03T00:12:22Z,32982,Grand Theft Auto V,1020,98011,3202
2026-09-03T00:12:22Z,1357871551,The Blood of Dawnwalker,282831,92369,1151
2026-09-03T00:12:22Z,33214,Fortnite,1905,63564,5104
2026-09-03T00:12:22Z,491931,Escape from Tarkov,15536,56206,635
2026-09-03T00:12:22Z,21779,League of Legends,115,49055,2103
2026-09-03T00:12:22Z,18122,World of Warcraft,123,50680,1167
2026-09-03T00:12:22Z,460630,Rainbow Six Siege,7360,43934,1991
2026-09-03T00:12:22Z,32399,Counter-Strike,,40619,1314
2026-09-03T00:12:22Z,516575,VALORANT,126459,39084,2497
2026-09-03T00:12:22Z,1910993272,Bodycam,248994,32577,271
2026-09-03T00:12:22Z,491487,Dead by Daylight,18866,30240,2172
2026-09-03T00:12:22Z,29452,Virtual Casino,45517,30347,38
2026-09-03T00:12:22Z,513143,Teamfight Tactics,120176,28892,294
2026-09-03T00:12:22Z,512710,Call of Duty: Warzone,131800,27470,1907
2026-09-03T00:12:22Z,29595,Dota 2,,26107,644
2026-09-03T00:12:22Z,511224,Apex Legends,114795,25109,1729
2026-09-03T00:12:22Z,498566,Slots,,24946,103
2026-09-03T00:12:22Z,509672,IRL,,23936,486
2026-09-03T00:12:22Z,27471,Minecraft,135400,22050,2569
2026-09-03T00:12:22Z,515025,Overwatch,125174,22636,1454
2026-09-03T00:12:22Z,1264310518,Marvel Rivals,294041,21614,1901
2026-09-03T00:12:22Z,602040818,NBA 2K27,408823,21103,3084
2026-09-03T00:12:22Z,1528763908,Pokémon Red Version,1561,18599,6
2026-09-03T00:12:22Z,1898040946,How to Fish,378170,15398,385
2026-09-03T00:12:22Z,499973,Always On,,14519,413
2026-09-03T00:12:22Z,921298138,Bombanana!,404342,14430,114
2026-09-03T00:12:22Z,2132205352,Deadlock,301298,13599,426
2026-09-03T00:12:22Z,10609,Pokémon Emerald Version,1517,13311,45
2026-09-03T00:12:22Z,509660,Art,,11417,648
2026-09-03T00:12:22Z,458353,Darkest Dungeon,8965,11647,30
2026-09-03T00:12:22Z,512953,ELDEN RING,119133,11268,571
2026-09-03T00:12:22Z,19619,Tibia,9596,10886,640
2026-09-03T00:12:22Z,509659,ASMR,,11069,183
2026-09-03T00:12:22Z,491962037,Big Ambitions,152779,10486,22
2026-09-03T00:12:22Z,417528,Albion Online,19698,10298,177
2026-09-03T00:12:22Z,399457773,Bills Must Be Paid,397984,9998,8
2026-09-03T00:12:22Z,30921,Rocket League,11198,9037,968
2026-09-03T00:12:22Z,539102438,Watch Your Plastic Duck,218659,8836,2
