ts,game_id,langs_top10
2026-08-23T01:05:00Z,509658,en:174599|pt:23097|ru:23074|es:15962|fr:7960|it:5874|de:5752|zh:4676|ja:2349|ko:1395
2026-08-23T01:05:00Z,743893402,en:104175|pt:3298|fr:2428|de:1158|ru:1128|es:563|pl:159|ar:48|ja:47|uk:43
2026-08-23T01:05:00Z,516575,en:40535|es:15547|pt:11585|fr:5552|de:2333|zh:1886|ja:1352|ru:948|ar:567|th:80
2026-08-23T01:05:00Z,32982,en:41436|fr:15938|es:10901|pt:8599|de:7038|ru:2177|pl:1266|nl:414|it:326|sv:112
2026-08-23T01:05:00Z,21779,en:32285|es:14405|pt:6040|de:5205|fr:3197|ja:1686|zh:716|ru:469|pl:380|ar:160
2026-08-23T01:05:00Z,509672,en:46239|de:7768|ru:2538|es:2052|pt:1013|it:471|zh:445|fr:439|no:148|ja:137
2026-08-23T01:05:00Z,515025,en:45047|es:3959|pt:2121|ja:959|de:243|ar:184|fr:161|zh:147|ru:105|it:80
2026-08-23T01:05:00Z,33214,en:26273|es:3892|pt:2231|de:1553|ru:430|fr:362|it:299|ar:204|ja:99|other:81
2026-08-23T01:05:00Z,18122,en:36785|ru:1049|pt:1029|es:800|de:795|fr:373|uk:71|pl:48|da:36|hu:32
2026-08-23T01:05:00Z,32399,en:17761|ru:7260|pt:6950|pl:1874|es:1834|el:1002|de:422|sv:335|da:206|fr:200
2026-08-23T01:05:00Z,27471,en:21231|pt:3615|fr:3492|es:3091|de:1394|ru:499|ja:284|pl:129|nl:42|it:32
2026-08-23T01:05:00Z,1478650472,en:26426|fr:2560|pt:1437|es:911|ar:735|de:350|ru:163|nl:89|it:35|ja:9
2026-08-23T01:05:00Z,23020,en:27029|es:1167|pt:436|fr:338|ru:138|de:120|ar:77|zh:60|pl:5|other:5
2026-08-23T01:05:00Z,511224,en:19606|ja:9694|es:2086|zh:1237|fr:285|pt:199|ar:151|de:126|ru:88|tr:23
2026-08-23T01:05:00Z,491487,en:13254|es:4022|pt:2258|ja:633|de:583|ru:277|fr:240|pl:200|ar:198|zh:41
2026-08-23T01:05:00Z,509663,en:23211|de:892|fr:288|es:220|ja:195|pt:133|other:13|ar:5|tl:0
2026-08-23T01:05:00Z,1264310518,en:16985|es:1587|pt:738|ar:310|ru:99|fr:43|de:17|zh:12|ja:8|pl:3
2026-08-23T01:05:00Z,498566,de:8893|es:5791|en:4059|fr:2244|pt:1485|pl:401|no:263|fi:244|hu:38|bg:36
2026-08-23T01:05:00Z,29595,ru:13813|pt:4116|en:3435|es:157|de:90|uk:82|sv:30|th:20|fi:15|fr:13
2026-08-23T01:05:00Z,1832841853,en:13546|de:3488|fr:1504|pt:1220|es:757|ru:335|ja:120|zh:19|pl:12|tr:9
2026-08-23T01:05:00Z,31339,en:16394|es:1178|pt:1055|de:846|fr:160|ja:142|ru:69|pl:26|it:10|uk:3
2026-08-23T01:05:00Z,491931,en:9749|ja:4859|de:1516|ru:575|fr:512|pt:375|es:152|it:146|pl:86|zh:83
2026-08-23T01:05:00Z,499973,en:13704|fr:2013|es:1191|de:751|ja:309|bg:18|pt:6|ca:2|sk:1|ru:1
2026-08-23T01:05:00Z,1898040946,en:14588|de:1049|pt:250|ru:110|es:76|fr:50|ja:35|it:18|cs:6|no:5
2026-08-23T01:05:00Z,460630,en:12699|de:661|pt:250|es:130|fr:95|it:47|ja:26|pl:21|ar:19|nl:8
2026-08-23T01:05:00Z,138585,ru:5580|en:4863|pt:569|fr:467|ar:360|de:297|zh:230|ja:78|es:33|other:2
2026-08-23T01:05:00Z,25668,en:11629
2026-08-23T01:05:00Z,512710,en:7034|es:1503|fr:474|pt:429|de:420|it:75|ar:22|other:11|nl:11|ru:9
2026-08-23T01:05:00Z,493057,ru:5315|en:3076|pt:1236|es:218|zh:74|el:33|ja:26|hu:21|de:20|pl:17
2026-08-23T01:05:00Z,1669431183,en:7753|de:1453|pt:159|fi:153|fr:152|es:128|other:113|ja:54|da:48|nl:3
2026-08-23T01:05:00Z,458353,en:9405|es:6|ru:4|fr:3|pt:2|pl:2
2026-08-23T01:05:00Z,386821,en:4846|pt:2006|zh:599|ja:500|es:375|ru:201|de:194|th:111|fr:59|it:11
2026-08-23T01:05:00Z,509659,en:7745|de:498|es:250|ja:150|fr:114|it:53|pt:15|ru:3|other:2
2026-08-23T01:05:00Z,24241,en:7312|ja:577|de:192|zh:155|fr:144|es:58|pt:49|it:6|th:1|other:1
2026-08-23T01:05:00Z,369418,es:1368|en:174|ja:86|de:14|pl:6|pt:4|fr:3|ru:2
2026-08-23T01:05:00Z,509660,en:6162|es:607|ja:354|ru:162|pt:117|zh:97|fr:69|de:54|th:18|pl:14
2026-08-23T01:05:00Z,19619,pt:6814|es:784|en:78|pl:5|other:1
2026-08-23T01:05:00Z,416015,en:5134|ru:1189|pt:484|pl:422|es:287|ja:139|zh:51|de:35|fr:14|sv:6
2026-08-23T01:05:00Z,26936,en:6868|es:214|de:174|ja:82|zh:77|ru:71|fr:71|pt:38|nl:16|bg:13
2026-08-23T01:05:00Z,2132205352,en:6104|ru:832|pt:324|ja:52|es:52|other:11|de:9|uk:6|fr:4|pl:3
2026-08-23T01:05:00Z,624536948,en:2608|pt:1622|de:1024|es:718|fr:463|it:274|hu:240|ar:23|ru:5|tr:2
2026-08-23T01:05:00Z,27546,en:5893|pl:332|es:176|ja:173|cs:122|de:90|ru:76|pt:54|zh:34|uk:18
2026-08-23T01:05:00Z,512953,en:5731|pt:221|ja:201|de:197|ru:186|es:102|fr:83|fi:32|pl:17|zh:7
2026-08-23T01:05:00Z,27284,en:5294|pt:611|es:361|fr:215|ja:169|ru:89|de:20|other:2|no:1
