ts,game_id,langs_top10
2026-08-14T00:43:09Z,509658,en:249443|pt:31686|ru:20997|es:15150|de:14046|fr:8240|zh:4096|ja:3935|it:2578|ar:1376
2026-08-14T00:43:09Z,509672,en:156533|es:31487|ru:10609|fr:9068|de:4260|it:527|pt:410|nl:336|ja:280|other:268
2026-08-14T00:43:09Z,491931,en:108503|ja:11122|ru:5593|es:1938|fr:1560|pt:1295|de:1044|it:412|hu:329|pl:226
2026-08-14T00:43:09Z,32982,en:71619|fr:32098|pt:14384|es:8842|de:5524|ru:858|it:623|da:92|sv:83|pl:60
2026-08-14T00:43:09Z,27471,es:49565|en:29013|fr:3441|pt:2494|ru:1619|de:1114|ja:190|pl:92|ar:64|it:53
2026-08-14T00:43:09Z,21779,en:59379|es:14993|pt:5809|fr:2826|de:2085|ja:1065|ru:545|zh:526|pl:290|it:198
2026-08-14T00:43:09Z,516575,en:36918|es:16484|pt:6960|de:6320|zh:5236|fr:5130|ja:1991|ru:1830|ar:818|pl:214
2026-08-14T00:43:09Z,33214,en:40521|pt:11660|es:5721|de:1355|fr:561|ru:337|ar:314|it:284|ja:82|pl:58
2026-08-14T00:43:09Z,460630,en:47651|pt:361|es:206|fr:74|ar:66|it:64|de:55|ja:22|pl:7|tr:4
2026-08-14T00:43:09Z,515025,en:36998|ja:1573|pt:1273|es:1104|fr:486|ar:359|ru:120|it:112|zh:93|de:87
2026-08-14T00:43:09Z,32399,en:16976|ru:9249|pt:7979|pl:1859|es:1834|de:648|el:597|fr:240|sv:228|fi:168
2026-08-14T00:43:09Z,491487,en:20257|pt:3645|es:3323|fr:1886|cs:1781|de:667|ja:595|ru:565|ar:344|pl:90
2026-08-14T00:43:09Z,29595,ru:20147|pt:3781|en:2068|uk:401|tl:145|es:139|ro:33|vi:8|bg:7|tr:3
2026-08-14T00:43:09Z,1264310518,en:21736|pt:1196|es:1003|ar:480|ja:142|ru:91|de:51|it:33|nl:23|fr:20
2026-08-14T00:43:09Z,31339,en:21876|es:1629|pt:1585|ru:417|de:183|fr:130|zh:59|pl:17|ja:12|it:7
2026-08-14T00:43:09Z,498566,en:7656|de:7185|es:3486|pt:3267|fr:680|fi:510|no:253|sv:76|ru:2
2026-08-14T00:43:09Z,489401,en:18939|es:19|pt:17|ar:10|it:4|other:3|de:3|fr:2
2026-08-14T00:43:09Z,884569009,en:17907|es:290|pt:15
2026-08-14T00:43:09Z,18122,en:14330|pt:1142|es:433|ru:395|fr:359|de:309|sv:62|uk:35|hu:30|zh:23
2026-08-14T00:43:09Z,511224,en:12547|ja:1006|es:729|fr:261|ar:226|pt:183|zh:155|ru:88|de:58|it:29
2026-08-14T00:43:09Z,512710,en:10503|fr:1050|de:974|es:928|pt:784|it:197|ar:93|ru:22|nl:16|sv:6
2026-08-14T00:43:09Z,13332,ja:14267|en:1758|pt:85|it:70|es:27|de:7
2026-08-14T00:43:09Z,852009328,en:7067|pt:3104|de:2458|ru:1803|es:307|fr:289|zh:230|ja:158|ar:64|uk:26
2026-08-14T00:43:09Z,29452,pt:11942|en:3598|es:300
2026-08-14T00:43:09Z,2012789438,en:14339|fr:277|ar:123|es:117|de:58|pt:48|ja:18|no:6|it:4|pl:3
2026-08-14T00:43:09Z,66170,en:12648|pt:738|es:485|fr:41|ru:21|de:7|other:4|ar:4|zh:2|ro:1
2026-08-14T00:43:09Z,518203,es:9633|it:1693|ru:1173|en:950|pt:320|fr:2|de:1|zh:0
2026-08-14T00:43:09Z,499973,en:10405|de:2091|fr:828|ja:333|pt:68|es:49|bg:7|ru:2|sk:1|other:1
2026-08-14T00:43:09Z,630009802,en:12436|pt:248|ru:170|ar:71|de:64|fr:43|zh:31|es:30|it:3
2026-08-14T00:43:09Z,30921,en:7074|es:3769|fr:1317|pt:590|de:179|ar:27|it:26|pl:24|ru:9|other:5
2026-08-14T00:43:09Z,509659,en:8634|it:1584|ru:991|pt:616|es:546|fr:80|ja:71|de:3|other:1
2026-08-14T00:43:09Z,624536948,pt:8812|en:2257|es:438|fr:348|de:191|ar:44|it:38|nl:7|ru:3|tr:2
2026-08-14T00:43:09Z,509660,en:7182|es:2742|pt:274|ja:270|zh:193|fr:155|de:106|ru:60|it:21|other:15
2026-08-14T00:43:09Z,653624336,en:10034|ru:230|es:43|pt:35|zh:5|de:5|cs:3|it:2|ja:1
2026-08-14T00:43:09Z,513181,en:6662|es:1172|pt:1080|fr:517|ru:387|ja:318|zh:139|it:73|de:23|ar:11
2026-08-14T00:43:09Z,512953,en:8716|ru:310|es:263|de:227|fr:222|zh:205|pt:165|ja:46|ar:18|pl:14
2026-08-14T00:43:09Z,386821,en:6441|pt:1390|es:576|zh:501|ja:454|ru:315|de:260|tr:191|fr:37|it:4
2026-08-14T00:43:09Z,2132205352,en:8016|ru:1089|es:299|pl:202|pt:190|ja:33|fr:30|ar:17|de:10|uk:6
2026-08-14T00:43:09Z,19619,pt:8977|es:474|en:338|pl:21|other:1
2026-08-14T00:43:09Z,1081998272,en:5766|es:1257|it:808|pt:785|ja:126|ru:121|fr:48|th:43|pl:15|uk:11
2026-08-14T00:43:09Z,670138298,en:9124|other:82|es:8|fr:1|de:1
2026-08-14T00:43:09Z,493057,ru:4314|en:2494|pt:1630|es:127|de:117|ja:114|zh:92|fr:49|uk:42|el:34
2026-08-14T00:43:09Z,29307,en:6717|ru:1069|pt:402|es:159|zh:73|pl:38|ja:38|fr:36|de:18|tr:12
2026-08-14T00:43:09Z,23020,en:5566|es:795|pl:364|pt:204|ru:112|de:81|hu:72|fr:56|zh:27|ar:27
