ts,game_id,game_name,igdb_id,viewers,channels
2026-08-19T01:08:30Z,509658,Just Chatting,,377720,4897
2026-08-19T01:08:30Z,32982,Grand Theft Auto V,1020,168830,3281
2026-08-19T01:08:30Z,509672,IRL,,71927,515
2026-08-19T01:08:30Z,21779,League of Legends,115,69666,2259
2026-08-19T01:08:30Z,491931,Escape from Tarkov,15536,62564,930
2026-08-19T01:08:30Z,32399,Counter-Strike,,55270,1418
2026-08-19T01:08:30Z,18122,World of Warcraft,123,53229,2307
2026-08-19T01:08:30Z,516575,VALORANT,126459,45049,2754
2026-08-19T01:08:30Z,27471,Minecraft,135400,44934,3099
2026-08-19T01:08:30Z,1832841853,Mortal Shell II,347633,43558,655
2026-08-19T01:08:30Z,33214,Fortnite,1905,36922,5177
2026-08-19T01:08:30Z,29452,Virtual Casino,45517,36737,48
2026-08-19T01:08:30Z,1264310518,Marvel Rivals,294041,30457,2367
2026-08-19T01:08:30Z,778386489,The Last of Us Part I,204350,35343,56
2026-08-19T01:08:30Z,31339,Project Zomboid,3189,30297,453
2026-08-19T01:08:30Z,491487,Dead by Daylight,18866,28338,2084
2026-08-19T01:08:30Z,29595,Dota 2,,29588,630
2026-08-19T01:08:30Z,511224,Apex Legends,114795,27097,2101
2026-08-19T01:08:30Z,1081998272,PEAK,349524,18722,704
2026-08-19T01:08:30Z,515025,Overwatch,125174,21091,1815
2026-08-19T01:08:30Z,512710,Call of Duty: Warzone,131800,19669,2173
2026-08-19T01:08:30Z,624536948,EA Sports FC 26,353848,19500,1309
2026-08-19T01:08:30Z,499973,Always On,,15948,395
2026-08-19T01:08:30Z,414822821,Sid Meier's Civilization VII,305006,15737,4
2026-08-19T01:08:30Z,315165001,Low-Budget Repairs,316836,202,13
2026-08-19T01:08:30Z,498566,Slots,,12739,68
2026-08-19T01:08:30Z,852009328,Mistfall Hunter,320141,11875,364
2026-08-19T01:08:30Z,509659,ASMR,,11693,163
2026-08-19T01:08:30Z,509660,Art,,10571,652
2026-08-19T01:08:30Z,386821,Black Desert,6292,10193,267
2026-08-19T01:08:30Z,19619,Tibia,9596,10007,576
2026-08-19T01:08:30Z,2132205352,Deadlock,301298,8926,473
2026-08-19T01:08:30Z,513181,Genshin Impact,119277,8492,470
2026-08-19T01:08:30Z,481755850,Hell Let Loose: Vietnam,362063,8606,191
2026-08-19T01:08:30Z,24241,FINAL FANTASY XIV ONLINE,386,8030,896
2026-08-19T01:08:30Z,630009802,MARVEL TŌKON: Fighting Souls,347132,8317,243
2026-08-19T01:08:30Z,670138298,Madden NFL 27,400379,7571,1215
2026-08-19T01:08:30Z,168648543,Battlefield 6,317407,7639,969
2026-08-19T01:08:30Z,460630,Rainbow Six Siege,7360,7140,1963
2026-08-19T01:08:30Z,23020,ROBLOX,17269,7105,2216
2026-08-19T01:08:30Z,464339927,ARC Raiders,185258,7349,1004
2026-08-19T01:08:30Z,26936,Music,,6044,530
2026-08-19T01:08:30Z,1036710512,Palworld,151665,6635,969
2026-08-19T01:08:30Z,499003,VRChat,33615,6917,165
2026-08-19T01:08:30Z,138585,Hearthstone,1279,6853,90
2026-08-19T01:08:30Z,459931,Old School RuneScape,79824,6531,249
2026-08-19T01:08:30Z,512953,ELDEN RING,119133,6302,450
2026-08-19T01:08:30Z,1669431183,DJs,,6219,220
2026-08-19T01:08:30Z,27284,Retro,,6052,361
2026-08-19T01:08:30Z,29307,Path of Exile,1911,5840,139
2026-08-19T01:08:30Z,676802825,Big Walk,279624,5885,488
2026-08-19T01:08:30Z,518203,Sports,,5845,173
2026-08-19T01:08:30Z,30921,Rocket League,11198,5397,1087
2026-08-19T01:08:30Z,13765,Donkey Kong 64,1096,1404,17
2026-08-19T01:08:30Z,493057,PUBG: BATTLEGROUNDS,27789,4782,562
2026-08-19T01:08:30Z,417528,Albion Online,19698,4984,141
2026-08-19T01:08:30Z,272263131,"Animals, Aquariums, and Zoos",,4652,316
2026-08-19T01:08:30Z,2012789438,Call of Duty: Black Ops 7,348220,3738,820
2026-08-19T01:08:30Z,538054672,TEKKEN 8,217590,4587,156
2026-08-19T01:08:30Z,2112738408,NBA 2K26,353901,4245,1234
2026-08-19T01:08:30Z,27546,World of Tanks,1184,4110,91
2026-08-19T01:08:30Z,513143,Teamfight Tactics,120176,4007,117
2026-08-19T01:08:30Z,66082,Games + Demos,,3733,1012
2026-08-19T01:08:30Z,499634,Crypto,76760,3525,115
2026-08-19T01:08:30Z,191490278,Twisted Tower,269507,3149,46
2026-08-19T01:08:30Z,263490,Rust,3277,3740,264
2026-08-19T01:08:30Z,55453844,Street Fighter 6,191692,2815,139
2026-08-19T01:08:30Z,488190,Poker,,3448,55
2026-08-19T01:08:30Z,493959,Red Dead Redemption II,25076,3168,377
2026-08-19T01:08:30Z,1846293708,Fields of Mistria,226035,3457,173
2026-08-19T01:08:30Z,401587136,Arena Breakout: Infinite,298915,3257,264
2026-08-19T01:08:30Z,19554,iRacing,8204,3232,234
2026-08-19T01:08:30Z,951949934,The Sinking City 2,289696,3291,91
2026-08-19T01:08:30Z,66170,Warframe,2903,3237,381
2026-08-19T01:08:30Z,509663,Special Events,,2793,84
